episod,score,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
83,11525.718329,-0.62924055389,0.252178411307,0.0,4.17532009647,4.16412981231,0.0,0.398004370517,0.286648427066,-20.0095335957,-1.78559189452,-27.9887006305,0.0,883.127917101,11.0827676934,696.426811003,674.853369568
84,11348.1191386,-5.42702952652,-0.633933388274,0.0,2.15614226763,5.91414430169,0.0,-2.82595217457,-0.177559263534,-14.1064278431,-4.86579637677,-27.8937668019,0.0,877.568253365,12.558569618,748.5931559,643.061228861
85,11055.0179941,-0.552629295093,-0.0980281060052,0.0,5.94082309813,0.866179070035,0.0,0.755206894667,-0.113077964556,-16.1290146688,2.1225656759,-28.5986613732,0.0,898.469197558,0.793666163774,766.841741099,781.878045672
86,10813.1066104,-5.58463828211,-0.136527173599,0.0,1.66454643386,1.03419605112,0.0,-3.44050962867,-1.42546989366,-14.5823490605,-3.20084792592,-27.6293469314,0.0,872.431400097,15.8380115512,748.898597357,644.640596218
87,11475.114781,-3.40835506251,-1.3049920716,0.0,4.7358762064,5.76458310578,0.0,-2.06415055678,-1.6114465523,-16.0676791476,-0.815615227903,-28.4604650532,0.0,893.402194197,4.52554920225,736.788378133,705.042650976
88,11320.3272415,-4.74095803027,-0.887823161891,0.0,5.67250762435,0.570038532972,0.0,-2.46713005392,-1.0749256867,-16.0580811723,-0.263586091175,-28.6422086479,0.0,898.246694643,1.55304260221,776.79747319,741.590860155
89,11448.1759055,-6.61360815342,-1.02136721364,0.0,1.36924535166,2.38844036583,0.0,-3.09554767347,-2.13682402263,-14.9272704265,-0.0473221370945,-28.4935057052,0.0,889.25293538,6.87099333056,798.609473129,672.242687122
90,12262.5143945,-4.00775202799,-4.0320469799,0.0,3.68947903711,3.4407488567,0.0,1.78004031592,-3.53019361671,-15.5349156998,-2.66459766558,-27.6806151202,0.0,898.772003954,1.34318967542,789.195742964,773.81529358
91,14225.0621011,-2.72870210756,-8.25226923003,0.0,4.29082211093,1.6185154612,0.0,2.70263749006,-7.70049940061,-15.2783054684,-5.90319024218,-28.6166231544,0.0,898.033697436,1.25473471726,813.302057918,775.420743697
92,14319.8395823,-1.20258338242,-3.21584429944,0.0,2.31911859735,5.31437128135,0.0,1.77135820445,-2.26881600192,-19.3443237434,-5.55789208852,-27.2521692321,0.0,898.845204366,1.693793564,802.795347378,789.679006455
93,12852.7726297,-1.50338003101,0.211253603677,0.0,5.49435605824,2.16982685289,0.0,1.76478239004,0.414615489483,-16.6057583904,1.67240265953,-28.4059562674,0.0,899.378428064,0.566766974749,809.009300465,805.291494906
94,12004.048583,-4.87012193933,0.847980827041,0.0,1.57305925194,3.37217784472,0.0,-1.16730860498,0.594525194693,-14.3438692742,-1.20116999636,-27.7337880018,0.0,891.226727572,5.58116476266,763.48831839,724.75331309
95,11943.4201865,-6.41968025282,1.13570328921,0.0,1.9832505707,4.28436919357,0.0,-4.82057214609,2.15330753763,-15.9963270134,-2.62655689452,-28.090397321,0.0,880.590793992,13.4190923558,732.655497068,674.247407721
96,11190.9486106,-7.13729176885,-0.305080159559,0.0,1.08749363745,3.09045128899,0.0,-4.43022618041,-0.849595409411,-14.7501156342,-0.789735056059,-28.6418427785,0.0,892.854246179,4.93021287817,807.805797684,694.096115395
97,11264.8494355,-2.88627276367,0.270055456324,0.0,5.4850515084,2.59172265028,0.0,0.634140544081,-0.161994583682,-16.3317369703,1.5654806509,-28.5554006206,0.0,899.342489633,0.167453931866,811.418923967,803.89137074
98,11859.0851765,-3.55257942235,0.556863061126,0.0,6.00977541082,0.799363688468,0.0,-1.46360787565,0.450619088534,-16.8971328273,1.42334964022,-28.6891888867,0.0,898.859544426,1.15016567059,803.762758942,775.472223871
99,11678.7648951,-3.13200232407,0.383158240498,0.0,5.88993981877,0.788659990358,0.0,-1.16483625541,0.247942627848,-16.7643887745,1.64669021596,-28.6815169255,0.0,899.408568828,0.909291579641,796.539330277,773.454188022
100,11494.3602639,-3.33325900177,-1.17290039727,0.0,1.89376594111,4.97678650861,0.0,-1.07142917781,-0.31855902077,-14.6806346575,-2.74823031297,-26.193530435,0.0,820.859029964,45.5679407116,689.641522009,565.891534981
101,12039.5593421,-2.17674533515,0.917729973784,0.0,5.62003842588,0.609283087901,0.0,-0.522872099821,1.08180015715,-17.0951752422,0.81096319402,-28.6681591308,0.0,898.992240371,1.16341896603,796.884162781,773.904283744
102,12234.3899318,-1.75519342039,-3.0421911832,0.0,0.110229629788,5.99077076791,0.0,1.63822910919,-3.16955185306,-15.2975649462,3.27957035435,-28.7135668812,0.0,898.426407422,1.44089268629,783.205869537,793.536454062
103,12226.2887199,-3.63683766316,-1.61322493471,0.0,1.80340183907,3.28314096331,0.0,0.760747424489,-1.32378145845,-13.9969274225,-3.11993738164,-27.4398499877,0.0,894.195958783,4.79354801864,773.29254586,723.635257307
104,11964.8858181,-4.39819236878,-1.98126572552,0.0,2.36966955407,3.49110981371,0.0,-0.050649233504,-0.943037434128,-14.6542583081,-4.32671668888,-27.7921157224,0.0,895.830462722,2.90287181098,788.578841711,741.063508891
105,12497.8706027,-3.73522429358,1.60809699226,0.0,1.28720303576,4.78452526046,0.0,-1.84672784285,2.09595208972,-15.5902852363,0.0772170836361,-27.0185856044,0.0,833.690905115,41.1569296309,696.480247415,608.334285488
106,12081.1720041,-7.32774218092,1.05333298347,0.0,2.25339068363,0.0825971367431,0.0,-5.4483910264,0.596064848486,-14.0045044032,-5.71131663414,-28.5644834876,0.0,894.337320029,4.60598854629,799.420783384,702.510143324
107,13603.4917109,2.09972878914,-0.0239932799201,0.0,4.67703179684,2.99059986065,0.0,1.85925015454,4.03841640655,-16.2163352206,-9.95246334609,-27.2635390478,0.0,899.695419223,1.42527213477,830.314516271,796.166309148
108,13525.0744987,1.52499912391,0.401320612118,0.0,1.11260708864,1.77488667644,0.0,4.54892753232,-0.850500232885,-17.0389677419,-7.0465789483,-28.3940590351,0.0,895.565844096,3.92844851911,793.436694334,747.415621475
109,13452.1278117,-5.85702027657,-0.223802720898,0.0,5.88945772477,4.48284112408,0.0,-2.68020446568,-0.960427720147,-15.279693192,-0.229024405381,-28.7287721869,0.0,897.216680604,3.45724195576,775.502032912,746.624992248
110,14175.5052925,-3.95013598543,-3.18206599689,0.0,4.97567546583,3.2467915311,0.0,1.87929781641,-5.33352094665,-17.3254184521,0.526732612043,-28.4191752071,0.0,899.764684213,0.214526786841,831.881808483,823.156875393
111,13786.6660903,-3.49313045931,-0.814215203481,0.0,5.11976611067,1.74695823762,0.0,1.55804279263,-1.11177209015,-17.0810611062,0.695403306719,-28.5975524512,0.0,898.183604043,0.590298560744,799.399915463,784.446155588
112,14637.2214804,-4.6357526378,-2.67878370572,0.0,2.62234846427,3.40414222754,0.0,1.34276693139,-2.65876075191,-18.9349752713,-5.60893922271,-27.6577772381,0.0,894.283065677,4.5092663229,782.513766186,710.839602736
113,15132.6212193,-3.00466472095,-0.253306540825,0.0,1.08851723962,1.66891126643,0.0,1.67861808671,0.404380891023,-16.5306769029,-5.45738382983,-27.9157207212,0.0,878.870633531,17.2525007749,732.22652273,670.681926125
114,15478.9590625,-3.9473995645,0.00034643689108,0.0,1.97152986833,4.46968222604,0.0,-1.60514495716,3.13845588659,-17.8615911308,-5.26654193655,-26.8845682988,0.0,896.234785182,4.07475334211,774.777073512,723.487520855
115,16664.8873197,-4.42242517484,-2.79341294832,0.0,3.9200774809,3.53637201888,0.0,0.409887501152,-1.31488070164,-17.8452763627,-7.68904194636,-28.1859016621,0.0,881.619646645,14.5388970067,702.090925585,570.787214671
